dataset,lang,path,actor_id,gender,emotion,statement_id
esd,en,./dataset/eng/ESD/0011/Happy/0011_000987.wav,11,m,2,287
esd,en,./dataset/eng/ESD/0012/Neutral/0012_000109.wav,12,f,0,109
esd,en,./dataset/eng/ESD/0020/Happy/0020_000964.wav,20,m,2,264
esd,en,./dataset/eng/ESD/0019/Neutral/0019_000250.wav,19,m,0,250
cafe,fr,./dataset/fr/CaFe/Joie/Faible/09-J-1-1.wav,9,m,2,1
esd,en,./dataset/eng/ESD/0012/Happy/0012_000938.wav,12,f,2,238
esd,en,./dataset/eng/ESD/0014/Sad/0014_001398.wav,14,m,3,348
esd,en,./dataset/eng/ESD/0011/Angry/0011_000646.wav,11,m,1,296
esd,en,./dataset/eng/ESD/0018/Happy/0018_000815.wav,18,f,2,115
esd,en,./dataset/eng/ESD/0015/Neutral/0015_000283.wav,15,f,0,283
esd,en,./dataset/eng/ESD/0016/Happy/0016_000791.wav,16,f,2,91
esd,en,./dataset/eng/ESD/0018/Angry/0018_000500.wav,18,f,1,150
esd,en,./dataset/eng/ESD/0015/Angry/0015_000509.wav,15,f,1,159
ravdess,en,./dataset/eng/RAVDESS/anger_ravdess_17_M_03-01-05-01-02-01-17.wav,17,m,1,2
esd,en,./dataset/eng/ESD/0017/Angry/0017_000479.wav,17,f,1,129
esd,en,./dataset/eng/ESD/0015/Sad/0015_001316.wav,15,f,3,266
cafe,fr,./dataset/fr/CaFe/Neutre/06-N-1-6.wav,6,f,0,6
esd,en,./dataset/eng/ESD/0013/Happy/0013_000989.wav,13,m,2,289
esd,en,./dataset/eng/ESD/0015/Happy/0015_000746.wav,15,f,2,46
ravdess,en,./dataset/eng/RAVDESS/neutral_ravdess_21_M_03-01-01-01-02-02-21.wav,21,m,0,2
esd,en,./dataset/eng/ESD/0012/Sad/0012_001392.wav,12,f,3,342
esd,en,./dataset/eng/ESD/0019/Neutral/0019_000100.wav,19,m,0,100
esd,en,./dataset/eng/ESD/0014/Neutral/0014_000099.wav,14,m,0,99
esd,en,./dataset/eng/ESD/0013/Angry/0013_000453.wav,13,m,1,103
ecarini,it,./dataset/ita/ECARINI/sad_ecarini_01_M_Il_colombre_par36.wav,1,m,3,36
esd,en,./dataset/eng/ESD/0013/Angry/0013_000661.wav,13,m,1,311
ravdess,en,./dataset/eng/RAVDESS/anger_ravdess_10_F_03-01-05-02-02-01-10.wav,10,f,1,2
esd,en,./dataset/eng/ESD/0017/Angry/0017_000564.wav,17,f,1,214
esd,en,./dataset/eng/ESD/0020/Happy/0020_000971.wav,20,m,2,271
esd,en,./dataset/eng/ESD/0017/Sad/0017_001144.wav,17,f,3,94
esd,en,./dataset/eng/ESD/0012/Angry/0012_000625.wav,12,f,1,275
esd,en,./dataset/eng/ESD/0013/Happy/0013_000815.wav,13,m,2,115
esd,en,./dataset/eng/ESD/0011/Sad/0011_001265.wav,11,m,3,215
esd,en,./dataset/eng/ESD/0014/Angry/0014_000652.wav,14,m,1,302
esd,en,./dataset/eng/ESD/0013/Angry/0013_000392.wav,13,m,1,42
esd,en,./dataset/eng/ESD/0013/Neutral/0013_000325.wav,13,m,0,325
esd,en,./dataset/eng/ESD/0014/Happy/0014_000703.wav,14,m,2,3
esd,en,./dataset/eng/ESD/0014/Sad/0014_001176.wav,14,m,3,126
ravdess,en,./dataset/eng/RAVDESS/sad_ravdess_04_F_03-01-04-02-01-01-04.wav,4,f,3,1
esd,en,./dataset/eng/ESD/0017/Happy/0017_000872.wav,17,f,2,172
esd,en,./dataset/eng/ESD/0014/Neutral/0014_000009.wav,14,m,0,9
esd,en,./dataset/eng/ESD/0014/Angry/0014_000535.wav,14,m,1,185
esd,en,./dataset/eng/ESD/0013/Neutral/0013_000106.wav,13,m,0,106
esd,en,./dataset/eng/ESD/0017/Neutral/0017_000151.wav,17,f,0,151
esd,en,./dataset/eng/ESD/0020/Angry/0020_000533.wav,20,m,1,183
esd,en,./dataset/eng/ESD/0013/Neutral/0013_000245.wav,13,m,0,245
esd,en,./dataset/eng/ESD/0019/Angry/0019_000490.wav,19,m,1,140
esd,en,./dataset/eng/ESD/0011/Neutral/0011_000098.wav,11,m,0,98
esd,en,./dataset/eng/ESD/0020/Neutral/0020_000167.wav,20,m,0,167
esd,en,./dataset/eng/ESD/0015/Angry/0015_000533.wav,15,f,1,183
esd,en,./dataset/eng/ESD/0013/Neutral/0013_000274.wav,13,m,0,274
esd,en,./dataset/eng/ESD/0014/Neutral/0014_000311.wav,14,m,0,311
emovo,it,./dataset/ita/EMOVO/sad_emovo_05_F_tri-f2-d1.wav,f2,f,3,d1
esd,en,./dataset/eng/ESD/0012/Neutral/0012_000315.wav,12,f,0,315
esd,en,./dataset/eng/ESD/0018/Neutral/0018_000166.wav,18,f,0,166
esd,en,./dataset/eng/ESD/0014/Angry/0014_000687.wav,14,m,1,337
esd,en,./dataset/eng/ESD/0014/Happy/0014_000964.wav,14,m,2,264
esd,en,./dataset/eng/ESD/0020/Angry/0020_000418.wav,20,m,1,68
esd,en,./dataset/eng/ESD/0019/Neutral/0019_000103.wav,19,m,0,103
esd,en,./dataset/eng/ESD/0015/Sad/0015_001347.wav,15,f,3,297
esd,en,./dataset/eng/ESD/0014/Angry/0014_000642.wav,14,m,1,292
esd,en,./dataset/eng/ESD/0018/Neutral/0018_000267.wav,18,f,0,267
esd,en,./dataset/eng/ESD/0017/Happy/0017_000830.wav,17,f,2,130
cafe,fr,./dataset/fr/CaFe/Neutre/01-N-1-3.wav,1,m,0,3
esd,en,./dataset/eng/ESD/0020/Sad/0020_001209.wav,20,m,3,159
esd,en,./dataset/eng/ESD/0015/Angry/0015_000457.wav,15,f,1,107
esd,en,./dataset/eng/ESD/0016/Happy/0016_000748.wav,16,f,2,48
esd,en,./dataset/eng/ESD/0015/Neutral/0015_000311.wav,15,f,0,311
esd,en,./dataset/eng/ESD/0015/Sad/0015_001105.wav,15,f,3,55
esd,en,./dataset/eng/ESD/0020/Angry/0020_000648.wav,20,m,1,298
esd,en,./dataset/eng/ESD/0014/Happy/0014_000962.wav,14,m,2,262
savee,en,./dataset/eng/SAVEE/neutral_savee_02_M_n01.wav,2,m,0,01
esd,en,./dataset/eng/ESD/0016/Neutral/0016_000228.wav,16,f,0,228
esd,en,./dataset/eng/ESD/0012/Neutral/0012_000086.wav,12,f,0,86
esd,en,./dataset/eng/ESD/0014/Sad/0014_001273.wav,14,m,3,223
esd,en,./dataset/eng/ESD/0020/Neutral/0020_000329.wav,20,m,0,329
esd,en,./dataset/eng/ESD/0015/Angry/0015_000551.wav,15,f,1,201
esd,en,./dataset/eng/ESD/0017/Neutral/0017_000045.wav,17,f,0,45
esd,en,./dataset/eng/ESD/0019/Neutral/0019_000336.wav,19,m,0,336
ravdess,en,./dataset/eng/RAVDESS/happy_ravdess_20_F_03-01-03-02-01-02-20.wav,20,f,2,1
esd,en,./dataset/eng/ESD/0018/Sad/0018_001240.wav,18,f,3,190
emovo,it,./dataset/ita/EMOVO/happy_emovo_01_M_gio-m1-l4.wav,m1,m,2,l4
esd,en,./dataset/eng/ESD/0015/Sad/0015_001363.wav,15,f,3,313
esd,en,./dataset/eng/ESD/0013/Sad/0013_001088.wav,13,m,3,38
esd,en,./dataset/eng/ESD/0018/Happy/0018_000806.wav,18,f,2,106
esd,en,./dataset/eng/ESD/0013/Happy/0013_000817.wav,13,m,2,117
esd,en,./dataset/eng/ESD/0019/Angry/0019_000666.wav,19,m,1,316
esd,en,./dataset/eng/ESD/0019/Happy/0019_000730.wav,19,m,2,30
esd,en,./dataset/eng/ESD/0017/Happy/0017_000789.wav,17,f,2,89
esd,en,./dataset/eng/ESD/0018/Happy/0018_000812.wav,18,f,2,112
emovo,it,./dataset/ita/EMOVO/neutral_emovo_02_M_neu-m2-l3.wav,m2,m,0,l3
esd,en,./dataset/eng/ESD/0018/Sad/0018_001260.wav,18,f,3,210
esd,en,./dataset/eng/ESD/0016/Sad/0016_001133.wav,16,f,3,83
esd,en,./dataset/eng/ESD/0011/Happy/0011_000959.wav,11,m,2,259
esd,en,./dataset/eng/ESD/0013/Angry/0013_000585.wav,13,m,1,235
esd,en,./dataset/eng/ESD/0019/Happy/0019_000857.wav,19,m,2,157
esd,en,./dataset/eng/ESD/0011/Angry/0011_000580.wav,11,m,1,230
esd,en,./dataset/eng/ESD/0017/Sad/0017_001279.wav,17,f,3,229
esd,en,./dataset/eng/ESD/0019/Happy/0019_001049.wav,19,m,2,349
esd,en,./dataset/eng/ESD/0013/Sad/0013_001189.wav,13,m,3,139
esd,en,./dataset/eng/ESD/0020/Angry/0020_000536.wav,20,m,1,186
esd,en,./dataset/eng/ESD/0013/Neutral/0013_000111.wav,13,m,0,111
cafe,fr,./dataset/fr/CaFe/Colère/Faible/12-C-1-6.wav,12,f,1,6
esd,en,./dataset/eng/ESD/0016/Happy/0016_000735.wav,16,f,2,35
esd,en,./dataset/eng/ESD/0020/Angry/0020_000426.wav,20,m,1,76
esd,en,./dataset/eng/ESD/0012/Neutral/0012_000212.wav,12,f,0,212
esd,en,./dataset/eng/ESD/0019/Neutral/0019_000335.wav,19,m,0,335
esd,en,./dataset/eng/ESD/0019/Happy/0019_000872.wav,19,m,2,172
esd,en,./dataset/eng/ESD/0017/Neutral/0017_000174.wav,17,f,0,174
esd,en,./dataset/eng/ESD/0016/Sad/0016_001259.wav,16,f,3,209
esd,en,./dataset/eng/ESD/0017/Sad/0017_001308.wav,17,f,3,258
esd,en,./dataset/eng/ESD/0017/Happy/0017_000816.wav,17,f,2,116
esd,en,./dataset/eng/ESD/0017/Angry/0017_000680.wav,17,f,1,330
ravdess,en,./dataset/eng/RAVDESS/anger_ravdess_18_F_03-01-05-02-01-01-18.wav,18,f,1,1
esd,en,./dataset/eng/ESD/0013/Angry/0013_000457.wav,13,m,1,107
esd,en,./dataset/eng/ESD/0020/Happy/0020_000863.wav,20,m,2,163
esd,en,./dataset/eng/ESD/0019/Sad/0019_001169.wav,19,m,3,119
esd,en,./dataset/eng/ESD/0019/Angry/0019_000586.wav,19,m,1,236
esd,en,./dataset/eng/ESD/0015/Happy/0015_000757.wav,15,f,2,57
esd,en,./dataset/eng/ESD/0017/Sad/0017_001125.wav,17,f,3,75
ecarini,it,./dataset/ita/ECARINI/neutral_ecarini_01_M_Il_colombre_par18.wav,1,m,0,18
esd,en,./dataset/eng/ESD/0015/Neutral/0015_000014.wav,15,f,0,14
esd,en,./dataset/eng/ESD/0012/Happy/0012_000850.wav,12,f,2,150
esd,en,./dataset/eng/ESD/0017/Happy/0017_000746.wav,17,f,2,46
esd,en,./dataset/eng/ESD/0018/Neutral/0018_000214.wav,18,f,0,214
esd,en,./dataset/eng/ESD/0018/Neutral/0018_000236.wav,18,f,0,236
esd,en,./dataset/eng/ESD/0011/Happy/0011_000912.wav,11,m,2,212
esd,en,./dataset/eng/ESD/0017/Sad/0017_001193.wav,17,f,3,143
esd,en,./dataset/eng/ESD/0012/Neutral/0012_000165.wav,12,f,0,165
esd,en,./dataset/eng/ESD/0011/Neutral/0011_000191.wav,11,m,0,191
esd,en,./dataset/eng/ESD/0012/Angry/0012_000500.wav,12,f,1,150
esd,en,./dataset/eng/ESD/0012/Happy/0012_001016.wav,12,f,2,316
esd,en,./dataset/eng/ESD/0011/Angry/0011_000615.wav,11,m,1,265
esd,en,./dataset/eng/ESD/0019/Angry/0019_000361.wav,19,m,1,11
esd,en,./dataset/eng/ESD/0019/Sad/0019_001374.wav,19,m,3,324
esd,en,./dataset/eng/ESD/0016/Neutral/0016_000202.wav,16,f,0,202
esd,en,./dataset/eng/ESD/0017/Happy/0017_000779.wav,17,f,2,79
esd,en,./dataset/eng/ESD/0015/Neutral/0015_000146.wav,15,f,0,146
